date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201203,IA,207969,,875516,,posNeg,1083485,1124,,224,,131,,147169,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,2522,,2020-12-03T00:00:00Z,,,,207969,,,,1085657,,,,76843,5019,71784,145053,29491,,,19,2196,3260,1083485,5456,1083485,73,0,528a72a1c6e297edeff18dcae537e92f6fd0962a,0,0,0,0,0,
20201203,ID,104734,16309,392275,,totalTestsPeopleViral,480700,466,4200,108,780,,,41838,A,12/2/2020 19:00,2020-12-02T19:00:00Z,12/02 14:00,991,4200,2020-12-02T19:00:00Z,726473,,,88425,905,86,,480700,,,,,,,,,31219,,16,1429,2446,497009,3452,497009,31,65,729b908304ec542b6ef8cf1c0e062ac4aba872c6,0,0,0,0,0,
20201203,IL,759562,6259,10046802,,posNeg,10806364,5653,,1170,,693,,,A,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,13625,,2020-12-03T00:00:00Z,10806364,,,447491,12830,795,,,,,,,,,,,,,17,10959,95819,10806364,106778,10806364,228,0,3decdc4672b0c8eba387675458786abe5f573b85,0,0,0,0,0,
20201203,IN,359430,,1893434,,totalTestsViral,4402956,3362,27236,987,4931,399,,213673,A+,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,6033,27236,2020-12-02T23:59:00Z,4402956,327467,,,5748,285,,2252864,,,,,,,,,,,18,8460,12302,2252864,60470,2252864,60,382,909ebcf9edbefcdff73bb0d03316caf746e39a1e,0,0,0,0,0,
20201203,KS,162061,,669121,,posNeg,831182,854,5290,227,1390,92,409,3512,A+,12/3/2020 10:00,2020-12-03T10:00:00Z,12/03 05:00,1679,5290,2020-12-03T10:00:00Z,,,,,,,,831182,,,,,,,,,,,20,0,0,831182,0,831182,0,0,d2e0a1f7847b02009193eff9a4b314418fad68bc,0,0,0,0,0,
20201203,KY,190601,33282,2530843,,totalTestsViral,2688162,1810,10311,415,2503,240,,28755,B,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,2014,10311,2020-12-03T00:00:00Z,2688162,,,157319,1922,92,,,95876,,,,,,,,118795,,21,3836,65294,2721444,68353,2721444,34,121,140134ec6ed6c3f04dce086d8f1c09e389d5746b,0,0,0,0,0,
20201203,LA,244078,14049,3297823,,posNeg,3541901,1325,,,,142,,202891,A,12/3/2020 13:00,2020-12-03T13:00:00Z,12/03 08:00,6524,,2020-12-03T13:00:00Z,3527852,,,230029,6252,272,,,,,,,,,,,117154,,22,2743,20659,3541901,23402,3541901,23,0,6dea9c9868d2792b2a5fa9a03581401b090d9c6a,0,0,0,0,0,
20201203,MA,240907,8643,3186939,,totalTestsViral,8677996,1324,14397,261,,137,,169809,A+,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,10874,14397,2020-12-02T23:59:00Z,8677996,289972,,232264,10637,237,,3419203,,,,133429,12193,,272797,,,,25,6675,25748,3427846,111734,3427846,50,258,8b9e148388006505ef818526444547a83d53bd7a,0,0,0,0,0,
20201203,MD,205399,,2177942,,totalTestsViral,4527316,1573,21558,364,,,,8675,A,12/3/2020 10:00,2020-12-03T10:00:00Z,12/03 05:00,4764,21558,2020-12-03T10:00:00Z,4527316,245667,,205399,4606,158,,2383341,,,,160122,15776,144346,,,,,24,2044,9939,2383341,31305,2383341,49,163,2841bd4443394ad886b12263d32dd8d72d17e298,0,0,0,0,0,
20201203,ME,12554,1403,889282,,posNeg,901836,138,740,46,,15,,9733,A+,12/2/2020 23:59,2020-12-02T23:59:00Z,12/02 18:59,220,740,2020-12-02T23:59:00Z,900433,15224,884663,11151,218,2,,,12815,406,12397,,,,,,26884,915,23,346,9149,901836,9495,901836,2,15,857627645e210d8f29f5ea65e49a5d593df4512a,0,0,0,0,0,
20201203,MI,410843,30500,6420956,,posNeg,6831799,4175,,840,,502,,165269,A+,12/3/2020 00:00,2020-12-03T00:00:00Z,12/02 19:00,10035,,2020-12-03T00:00:00Z,6904525,483569,6420956,380343,9580,455,,,373357,,,,,,,,,,26,7957,61820,6831799,69777,6831799,193,0,24bbcb74ca46242a45f6f82f449025a24bc134a0,0,0,0,0,0,
20201203,MN,333626,7562,2250748,,totalTestEncountersViral,4266980,1770,17623,376,3911,,,290019,A,12/2/2020 17:00,2020-12-02T17:00:00Z,12/02 12:00,3784,17623,2020-12-02T17:00:00Z,,,,326064,3701,83,4266980,2576812,,,,,,,,,112630,,27,6149,14306,2584374,48363,2584374,92,245,3f15ff79e0080d673a23187abd87e2ef87187597,0,0,0,0,0,
20201203,MO,309368,,1525036,,totalTestsViral,3124697,2758,,659,,376,,,A+,12/3/2020 00:59,2020-12-03T00:59:00Z,12/02 19:59,4102,,2020-12-03T00:59:00Z,3124697,342557,2776013,309368,,,,1834404,96185,8493,87487,90953,3618,71709,80020,,136257,20436,29,3998,5031,1834404,20958,1834404,59,0,3435723601c051a8c8ddbfad8d432c0a289ffe66,0,0,0,0,0,
20201203,MP,106,,17010,,posNeg,17116,,4,,,,,29,D,12/2/2020 00:00,2020-12-02T00:00:00Z,12/01 19:00,2,4,2020-12-02T00:00:00Z,23944,,,106,2,,,17116,,,,,,,,,,,69,0,0,17116,0,17116,0,0,e5653c082efcb978a9336485edb985bf43d09483,0,0,0,0,0,
20201203,MS,159036,34343,982395,,posNeg,1141431,1160,7486,277,,137,,128746,A+,12/2/2020 00:00,2020-12-02T00:00:00Z,12/01 19:00,3879,7486,2020-12-02T00:00:00Z,1104632,,,124693,3361,518,,,51554,95,,,,,,,210647,,28,2168,0,1141431,2168,1141431,28,0,865913f86d4bce69905ebe7ad2eda30da81ae0a6,0,0,0,0,0,
20201203,MT,65122,,603959,,posNeg,669081,474,2762,87,,31,,48360,A,12/3/2020 01:59,2020-12-03T01:59:00Z,12/02 20:59,722,2762,2020-12-03T01:59:00Z,669081,,,65122,,,,,,,,,,,,,,,30,782,4718,669081,5500,669081,9,29,75e1f5fef8ea979bebd06caf9714fdeddfd6a59b,0,0,0,0,0,
20201203,NC,377231,23265,5055468,,posNeg,5432699,2101,,500,,,,315979,A+,12/3/2020 11:30,2020-12-03T11:30:00Z,12/03 06:30,5410,,2020-12-03T11:30:00Z,5409434,,,353966,5231,179,,,,,,,,,,,130577,,37,5637,49058,5432699,54695,5432699,44,0,16cdcb3bf9eda6935d7e6693dea7f08e2e3293f8,0,0,0,0,0,
20201203,ND,81105,,272578,,totalTestEncountersViral,1106508,316,2813,38,440,,,74667,B,12/3/2020 01:59,2020-12-03T01:59:00Z,12/02 20:59,983,2813,2020-12-03T01:59:00Z,1164267,,,81105,977,6,1106508,353683,12347,1105,11242,,,,,,,,38,970,1061,353683,10169,353683,11,22,bfe3f817247b90ba34b3556000c3c37a98b4a222,0,0,0,0,0,
20201203,NE,132530,,620451,,totalTestsViral,1406323,853,4425,,,,,65740,A,12/2/2020 23:00,2020-12-02T23:00:00Z,12/02 18:00,1128,4425,2020-12-02T23:00:00Z,1406323,150764,1253975,132530,,,,753338,,,,,,,,,,,31,2336,2279,752981,20122,752981,48,45,71bac1c3634e744620ea1d3d70e499036071a949,0,0,0,0,0,
